"","es_id","study_id","author","pub_year","country","color","n","design","yi","vi"
"1",1,1,"arthur2016",2016,"US","green",76,"between",0.429629660084308,0.0539921307042525
"2",2,1,"arthur2016",2016,"US","green",164,"between",0.0224109292880219,0.0243954030326726
"3",3,1,"arthur2016",2016,"US","green",87,"between",0.084249096978135,0.0460238792689314
"4",4,2,"bertrams2015",2015,"DE","gray",33,"between",0.0424373319278913,0.121350816186631
"5",5,2,"bertrams2015",2015,"DE","gray",38,"between",0.361956049371581,0.107279400051301
"6",6,3,"caschera2015",2015,"US","green",16,"between",-0.406037989770993,0.25515208903554
"7",7,3,"caschera2015",2015,"US","green",16,"between",-1.0640582436571,0.285381873309207
"8",8,4,"castell2018",2018,"DE","white",87,"between",-0.155925841013452,0.0461228158065988
"9",9,4,"castell2018",2018,"DE","blue",82,"between",0.0597597178159577,0.0489186153498399
"10",10,4,"castell2018",2018,"DE","white",87,"between",0.627380525614131,0.0482451919906454
"11",11,4,"castell2018",2018,"DE","blue",82,"between",0.244868488375159,0.04926245286646
"12",12,5,"drummond2017",2017,"US","green",61,"between",-0.538094454886271,0.0679647227869981
"13",13,5,"drummond2017",2017,"US","black",80,"between",-0.0900408517867094,0.0500506709686905
"14",14,6,"elliot2007",2007,"US","green",46,"between",-0.0815326685180802,0.0897408722456628
"15",15,6,"elliot2007",2007,"US","black",44,"between",-0.204210413192422,0.0931054640934618
"16",16,6,"elliot2007",2007,"DE","green",30,"between",-1.24221479764626,0.159051626724856
"17",17,6,"elliot2007",2007,"DE","white",31,"between",-0.995185076888759,0.145140752751539
"18",18,6,"elliot2007",2007,"DE","green",22,"between",-1.50566649482697,0.234856778643436
"19",19,6,"elliot2007",2007,"DE","gray",18,"between",-0.757880463483299,0.240955077692491
"20",20,6,"elliot2007",2007,"DE","green",40,"between",-0.527925232539271,0.104493914149497
"21",21,6,"elliot2007",2007,"DE","gray",35,"between",-0.479196187751987,0.117659499058121
"22",22,7,"elliot2019",2019,"US","green",40,"within",0.0981607811299818,0.100120444236901
"23",23,7,"elliot2019",2019,"US","green",135,"within",0.107107839564903,0.0296737447068853
"24",24,8,"gnambs2010",2010,"AT","green",131,"between",-0.510653843361088,0.0315314257565101
"25",25,8,"gnambs2010",2010,"DE","blue",133,"between",-0.0372158496299192,0.030218746140407
"26",26,8,"gnambs2010",2010,"DE","blue",128,"between",-0.078850279289921,0.0316526532794392
"27",27,9,"gnambs2015",2015,"AT","gray",97,"between",-0.090219456061701,0.0413185521892791
"28",28,10,"hulshof2013",2013,"NL","blue",122,"between",-0.363509743482232,0.0333372535706595
"29",29,11,"larsson2015",2015,"UK","green",185,"between",-0.119502490284579,0.0218443488826481
"30",30,11,"larsson2015",2015,"UK","green",187,"between",-0.101663963870366,0.0215565322670638
"31",31,11,"larsson2015",2015,"UK","green",187,"between",-0.042807984738702,0.0215337968713621
"32",32,11,"larsson2015",2015,"UK","green",187,"between",0.0281742156587898,0.0215310194993583
"33",33,11,"larsson2015",2015,"UK","green",187,"between",0.0850252053604401,0.021548226716253
"34",34,12,"maier2008",2008,"DE","gray",20,"between",-1.36525072486983,0.24659773854394
"35",35,12,"maier2008",2008,"DE","gray",22,"between",-0.959578407228105,0.202745243627692
"36",36,13,"pedley2016",2016,"UK","blue",42,"between",0.0180090561893402,0.0952419562631527
"37",37,13,"pedley2016",2016,"UK","green",42,"between",0.164839261024302,0.0955615712139885
"38",38,13,"pedley2016",2016,"UK","gray",42,"between",-0.361786655395557,0.0967963045716941
"39",39,13,"pedley2016",2016,"UK","blue",88,"between",0.0540344659092588,0.0454711347926483
"40",40,13,"pedley2016",2016,"UK","green",88,"between",0.157876816006984,0.0455961652785938
"41",41,13,"pedley2016",2016,"UK","blue",30,"between",0.612821029162778,0.139592493563069
"42",42,13,"pedley2016",2016,"UK","green",30,"between",0.275832594671205,0.134601393671384
"43",43,13,"pedley2016",2016,"UK","gray",30,"between",0.388434946574481,0.135848028462005
"44",44,13,"pedley2016",2016,"UK","white",32,"between",-1.22135442412259,0.148307916083185
"45",45,13,"pedley2016",2016,"UK","green",30,"between",0.218550654802675,0.134129406478578
"46",46,13,"pedley2016",2016,"UK","white",30,"between",0.491738973306019,0.137363453631134
"47",47,14,"shi2015",2015,"CN","blue",58,"between",-0.566224155165362,0.0717293947749373
"48",48,15,"smajic2014",2014,"US","green",137,"between",-0.155713912790745,0.0292871280295478
"49",49,15,"smajic2014",2014,"US","blue",31,"between",0.0206559444173123,0.132485514221209
"50",50,15,"smajic2014",2014,"US","green",32,"between",-0.0151059540091127,0.126987692450479
"51",51,15,"smajic2014",2014,"US","white",30,"between",0.0886227294898435,0.139019788691926
"52",52,15,"smajic2014",2014,"US","blue",25,"between",0.446487932714475,0.166324691818855
"53",53,15,"smajic2014",2014,"US","green",24,"between",0.109586912399876,0.171678764998766
"54",54,15,"smajic2014",2014,"US","white",20,"between",0.219234704243822,0.23929683448386
"55",55,16,"steele2015",2015,"US","gray",206,"between",-0.116620283285405,0.0194504861419261
"56",56,16,"steele2015",2015,"US","green",203,"between",0.0727218689196921,0.0197179374563545
"57",57,17,"steele2016",2016,"US","gray",163,"between",-0.0592511745988299,0.0245515699871583
"58",58,17,"steele2016",2016,"US","green",188,"between",-0.0435828103802592,0.0212816475036187
"59",59,18,"steele2017",2017,"US","gray",266,"between",-0.0733674978356228,0.015047712010787
"60",60,18,"steele2017",2017,"US","green",246,"between",-0.0101698390169857,0.0162603728163123
"61",61,19,"steele2018",2018,"US","gray",282,"between",-0.0106901071679318,0.0141845997843817
"62",62,19,"steele2018",2018,"US","green",277,"between",-0.0754998958240137,0.014450910647444
"63",63,20,"thorstenson2015",2015,"US","green",82,"between",-0.473122630395906,0.0501453964841021
"64",64,20,"thorstenson2015",2015,"US","gray",86,"between",-0.372063018295768,0.0474172968780529
"65",65,21,"vukovic2017",2017,"RS","black",96,"between",0.0711048672814397,0.0416929994903704
"66",66,21,"vukovic2017",2017,"RS","green",95,"between",0.169876745795555,0.0422618138609725
"67",67,22,"zhang2014",2014,"CN","green",24,"between",-1.10909167819815,0.192293423971842
